time_start_sec,draw_time_avg,janky_frames,missed_vsync_count,slow_ui_thread_count,slow_bitmap_uploads_count,slow_issue_draw_commands_count,draw_time_avg_ma,janky_frames_ma
2630,36.378067,1,1,0,0,0,47.5946807142857,1.7142857142857142
2660,35.521027,1,0,1,1,0,44.98561885714285,1.7142857142857142
2690,51.15583,0,0,0,0,0,43.97448257142856,1.0
2720,33.30038,3,1,1,1,2,40.80843399999999,1.4285714285714286
2750,31.266487,2,0,1,1,0,38.90988142857142,1.7142857142857142
2780,66.56023,7,4,5,1,4,40.869237999999996,2.142857142857143
2810,40.04101,7,3,5,3,4,42.031861571428564,3.0
2840,27.419184,19,3,10,5,10,40.75202114285714,5.571428571428571
2870,26.190985,3,1,2,1,1,39.41915799999999,5.857142857142857
2900,93.14698,8,1,3,1,4,45.41789371428571,7.0
2930,21.718117,10,4,9,1,3,43.7632847142857,8.0
2960,15.481903,8,1,7,1,1,41.50834414285714,8.857142857142858
2990,23.557953,0,0,0,0,0,35.365161714285705,7.857142857142857
3020,11.399019,2,0,2,1,0,31.273448714285706,7.142857142857143
3050,10.122623,3,0,2,2,1,28.80251142857142,4.857142857142857
3080,28.267422,5,1,3,3,2,29.099145285714275,5.142857142857143
3110,26.174028,1,0,1,0,0,19.531580714285706,4.142857142857143
3140,19.411087,8,1,5,3,4,19.20200499999999,3.857142857142857
3170,15.285115,0,0,0,0,0,19.173892428571424,2.7142857142857144
3200,30.260262,1,0,0,0,0,20.131365142857135,2.857142857142857
3230,148.89989,0,0,0,0,0,39.7743467142857,2.5714285714285716
3260,27.07607,0,0,0,0,0,42.1962677142857,2.142857142857143
3290,39.169704,0,0,0,0,0,43.75373657142857,1.4285714285714286
3320,96.43716,0,0,0,0,0,53.79132685714285,1.2857142857142858
3350,146.69463,1,0,0,0,0,71.97469014285714,0.2857142857142857
3380,52.85603,0,0,0,0,0,77.34196371428571,0.2857142857142857
3410,135.8796,0,0,0,0,0,92.43044057142856,0.14285714285714285
3440,157.89182,0,0,0,0,0,93.715002,0.14285714285714285
3470,57.929234,0,0,0,0,0,98.12259685714285,0.14285714285714285
3500,21.29458,1,0,1,0,0,95.5690077142857,0.2857142857142857
